,q,I,sigma
52,0.0370152024,0.012525001180000009,0.000845713454
53,0.0377270332,0.011101971640000007,0.00076204963
54,0.03843886399999999,0.010237001835000002,0.0006909745120000006
55,0.039150694900000005,0.009033113820000015,0.0005943316330000005
56,0.039862525700000005,0.008401003995000003,0.0005644759950000008
57,0.04057435649999999,0.007318087420000001,0.00045456978200000006
58,0.0412861873,0.006455537630000001,0.00040314430050000013
59,0.041998018100000006,0.0060703417500000065,0.00036677320350000063
60,0.042709848899999986,0.005530755415000012,0.0003244875685000006
61,0.0434216798,0.00518777975500001,0.00031134254500000133
62,0.04413351060000001,0.004724074675000002,0.0002703780494999995
63,0.04484534139999999,0.004632373174999996,0.00026915435600000006
64,0.045557172199999996,0.00414610923499998,0.00023209924550000004
65,0.04626900300000001,0.00415404229,0.00023580893299999942
66,0.04698083379999998,0.003929439089999993,0.00022240986300000112
67,0.0476926647,0.003671298775000019,0.00020194575599999983
68,0.04840449550000001,0.0035457174499999924,0.00019679440949999915
69,0.049116326299999985,0.0032485810449999902,0.00017837886350000054
70,0.0498281571,0.003152917465000009,0.00016971865050000078
71,0.050539987900000014,0.002729384044999991,0.0001478140694999991
72,0.05125181869999997,0.0028390743149999953,0.00014811821100000006
73,0.0519636495,0.0023325501900000115,0.00012468094450000062
74,0.052675480400000016,0.0024112209100000045,0.00012832952449999937
75,0.05338731119999999,0.002321962564999995,0.00012661442399999976
76,0.054099142,0.001954426500000002,0.00010625883249999963
77,0.05481097280000001,0.0018964744450000043,9.735558149999999e-05
78,0.05552280359999998,0.0019422323300000086,0.00010311512100000036
79,0.0562346344,0.0016497850299999894,8.492391149999981e-05
80,0.05694646530000001,0.0015204997650000093,7.983684250000055e-05
81,0.05765829610000004,0.0013954014549999866,7.28934035e-05
82,0.058370126900000006,0.0011845045799999884,6.0438999500000024e-05
83,0.0590819577,0.001234458324999993,6.460648950000003e-05
84,0.059793788499999966,0.0010910362950000002,5.3838103000000085e-05
85,0.060505619299999994,0.0010388145450000025,5.248486699999935e-05
86,0.06121745020000001,0.000815650309999999,4.1027011500000075e-05
87,0.06192928099999999,0.0006637181650000004,3.1771787499999555e-05
88,0.06264111180000001,0.0008114895699999972,4.016232150000029e-05
89,0.06335294259999999,0.0007263278300000051,3.4309846499999165e-05
90,0.06406477339999997,0.0005530673700000072,2.6743559999999793e-05
91,0.06477660419999999,0.0005773250399999999,2.742397450000017e-05
92,0.065488435,0.0006864277949999928,3.178385849999968e-05
93,0.06620026590000003,0.0005129554099999878,2.3659010999999616e-05
94,0.0669120967,0.00047935885500000747,2.1836573000000217e-05
95,0.06762392749999999,0.0005942511050000127,2.7202971500000063e-05
96,0.06833575830000001,0.0005308802050000005,2.3452867500000198e-05
97,0.06904758909999999,0.00050724466000001,2.238586249999979e-05
98,0.06975941990000001,0.0005711884699999975,2.681993800000013e-05
99,0.07047125080000002,0.0005629759399999948,2.470197500000046e-05
100,0.0711830816,0.00036205568500001506,1.631005550000006e-05
101,0.07189491239999997,0.0005137441750000041,2.2378600499999967e-05
102,0.07260674319999999,0.00039815043000001465,1.743202950000005e-05
103,0.07331857399999998,0.0004315168950000184,1.8737490999999997e-05
104,0.0740304048,0.0004135774299999992,1.8214074999999387e-05
105,0.07474223560000001,0.0006694348000000003,2.8869176999999236e-05
106,0.07545406650000001,0.0004434763849999884,1.8897622499999822e-05
107,0.07616589730000003,0.00047925094499999543,1.9963479999999612e-05
108,0.07687772809999999,0.0004143236300000047,1.7780281499999752e-05
109,0.07758955889999998,0.00042957612999999784,1.853903100000067e-05
110,0.0783013897,0.000451463919999992,1.9243489999999945e-05
111,0.07901322050000001,0.00047699422999999963,2.0119010000000043e-05
112,0.07972505140000001,0.00042736410999999475,1.7709546499999635e-05
113,0.08043688219999996,0.0005760502450000149,2.347911050000007e-05
114,0.08114871299999998,0.000495171159999995,1.993728e-05
115,0.08186054379999999,0.0005061569250000009,2.092350799999987e-05
116,0.0825723746,0.0005412899900000129,2.2421579499999752e-05
117,0.08328420540000002,0.0005372754949999892,2.274560449999955e-05
118,0.08399603630000002,0.0006679251049999946,2.7687943000000116e-05
119,0.08470786710000006,0.000729660180000001,2.9495273999999815e-05
120,0.08541969789999998,0.000599519109999988,2.4213743500000424e-05
121,0.08613152869999997,0.0006412478100000021,2.541904900000007e-05
122,0.0868433595,0.0007055409699999876,2.864624400000012e-05
123,0.08755519030000002,0.0006884875549999919,2.7896102499999284e-05
124,0.08826702110000001,0.000784957659999995,3.093328549999986e-05
125,0.08897885199999996,0.0008034707149999973,3.216866700000011e-05
126,0.08969068279999998,0.0007098175299999968,2.7424701499999433e-05
127,0.09040251359999997,0.0008095485699999988,3.176507000000016e-05
128,0.09111434439999999,0.0007965348599999963,3.150440449999981e-05
129,0.09182617520000001,0.0008289899949999943,3.121920050000015e-05
130,0.09253800600000002,0.000799376484999989,3.156438550000018e-05
131,0.09324983690000004,0.0008700226049999996,3.307770250000029e-05
132,0.09396166769999997,0.0008755098300000028,3.410686399999991e-05
133,0.09467349849999997,0.0008886774350000057,3.444378250000023e-05
134,0.0953853293,0.0008882439800000017,3.449034349999958e-05
135,0.09609716010000001,0.000872184970000002,3.493653150000021e-05
136,0.09680899090000003,0.0010192057799999973,4.067068649999967e-05
137,0.09752082179999995,0.0010394544699999925,4.183953249999972e-05
138,0.09823265259999997,0.0009704002099999998,3.806698499999976e-05
139,0.09894448339999998,0.001017658734999996,3.924160499999972e-05
140,0.0996563142,0.0010154514299999806,3.8980112999999856e-05
141,0.10036814499999999,0.0010620220899999963,3.912563000000018e-05
142,0.10107997600000003,0.0011696824450000143,4.419584350000023e-05
143,0.10179180699999994,0.001193521729999994,4.4708349999999977e-05
144,0.10250363700000005,0.0010974105799999995,4.075139350000006e-05
145,0.10321546799999996,0.001188215355000008,4.440875349999993e-05
146,0.103927299,0.0012341279750000128,4.472683049999986e-05
147,0.10463913,0.0011095508150000058,4.120965050000017e-05
148,0.10535096100000003,0.0013154659400000032,4.7868568499999636e-05
149,0.10606279199999995,0.001363864389999997,4.9503492999999985e-05
150,0.10677462200000003,0.001232605339999998,4.503376800000006e-05
151,0.10748645299999997,0.0014525617950000153,5.165782000000007e-05
152,0.108198284,0.0013709123050000063,4.8892971500000054e-05
153,0.108910115,0.0013587916249999943,4.830165550000036e-05
154,0.10962194600000001,0.0014041632899999892,4.969967499999996e-05
155,0.11033377600000002,0.001442746674999995,5.0759501499999995e-05
156,0.11104560699999995,0.0013766349350000026,4.778407799999962e-05
157,0.111757438,0.0015046371799999902,5.254825549999998e-05
158,0.11246926900000001,0.0015283650050000042,5.291746650000007e-05
159,0.11318109999999999,0.0015786551799999993,5.5328454000000025e-05
160,0.11389293100000004,0.0015195279199999995,5.277590149999978e-05
161,0.11460476100000001,0.0016319032100000144,5.562666000000021e-05
162,0.11531659200000006,0.0016643761999999979,5.783028899999975e-05
163,0.11602842299999998,0.0016250756949999987,5.489268050000006e-05
164,0.11674025400000003,0.0017306110499999902,5.89354910000004e-05
165,0.11745208500000001,0.001638269220000009,5.5595799499999704e-05
166,0.11816391499999997,0.0016854006350000006,5.7004987999999994e-05
167,0.11887574600000002,0.0016965893099999962,5.7355836499999946e-05
168,0.11958757699999993,0.0017391136700000004,5.792618949999992e-05
169,0.12029940800000001,0.0017872790649999942,5.988420200000034e-05
170,0.12101123900000002,0.0017937069049999976,5.995285499999967e-05
171,0.121723069,0.001786076089999998,5.860222700000001e-05
172,0.12243489999999999,0.0017692012700000134,5.845831099999957e-05
173,0.123146731,0.001850217439999996,6.0257242999999655e-05
174,0.12385856199999998,0.0018831890849999866,6.185079799999986e-05
175,0.12457039299999997,0.0018876809049999943,6.170243149999986e-05
176,0.12528222400000005,0.0018387937200000024,6.005603749999937e-05
177,0.125994054,0.0019448487799999942,6.62182370000004e-05
178,0.12670588499999996,0.0018595747799999979,6.15861355000003e-05
179,0.12741771600000001,0.0018838038699999782,6.333654349999999e-05
180,0.12812954699999995,0.0019277761449999972,6.43424380000002e-05
181,0.128841378,0.0018869986299999905,6.282026699999969e-05
182,0.12955320799999998,0.001882508660000004,6.385163600000003e-05
183,0.13026503900000003,0.0018962395549999983,6.246145749999967e-05
184,0.13097687,0.001900334974999994,6.335109849999994e-05
185,0.131688701,0.001957918849999983,6.505178699999967e-05
186,0.132400532,0.0019402631999999934,6.454035500000018e-05
187,0.13311236299999998,0.001980670720000008,6.661324199999977e-05
188,0.133824193,0.001987129274999999,6.53628545000005e-05
189,0.134536024,0.0018975884750000033,6.335737650000023e-05
190,0.13524785499999997,0.002081614595000003,6.877287549999968e-05
191,0.13595968600000002,0.001997819934999999,6.615543349999982e-05
192,0.13667151699999996,0.0019659694400000066,6.498235800000019e-05
193,0.13738334700000004,0.001989779419999997,6.513395650000007e-05
194,0.13809517799999999,0.002041884700000003,6.771174599999965e-05
195,0.13880700900000004,0.001999517764999993,6.589953450000016e-05
196,0.13951884,0.0021155521650000064,7.075236700000015e-05
197,0.140230671,0.0020949619400000077,7.050276200000027e-05
198,0.140942502,0.0019402602200000174,6.418563049999967e-05
199,0.14165433199999994,0.002147670344999998,7.115476000000014e-05
200,0.14236616300000002,0.0020149144649999895,6.501684699999986e-05
201,0.14307799400000001,0.002027369894999999,6.556638300000018e-05
202,0.14378982499999995,0.0021143581050000054,6.791678100000025e-05
203,0.14450165600000003,0.002031624039999999,6.467315250000016e-05
204,0.14521348599999997,0.0020771286800000052,6.675950799999971e-05
205,0.14592531700000005,0.0020650379199999985,6.530137300000028e-05
206,0.14663714799999997,0.0020945769300000014,6.574295900000022e-05
207,0.14734897900000005,0.002055899540000003,6.456182300000005e-05
208,0.14806081000000001,0.002020113299999987,6.272815050000023e-05
209,0.14877263999999996,0.0020335753950000077,6.42249795000003e-05
210,0.14948447100000004,0.0020896560399999917,6.429495849999975e-05
211,0.15019630199999995,0.0019843459700000024,6.14559435000001e-05
212,0.15090813300000003,0.0020137906000000025,6.174659100000013e-05
213,0.151619964,0.0021315431800000006,6.444927749999982e-05
214,0.15233179499999996,0.0020781471100000046,6.357480850000007e-05
215,0.153043625,0.0020472901599999996,6.157166500000001e-05
216,0.15375545599999996,0.0020580738250000064,6.30585630000003e-05
